nocues;nhog;region;aglo;t_aglo;v108;v109;v111;v202;v238a;v256a
78;1;7;6;1;55;2;2;;;
79;1;7;6;1;59;1;1;;1;1
79;1;7;6;1;61;2;2;;;
79;1;7;6;1;29;2;3;;;
79;1;7;6;1;27;2;3;;;
80;1;7;6;1;63;1;1;1;3;
80;1;7;6;1;40;2;3;1;;
80;1;7;6;1;40;1;5;3;;
80;1;7;6;1;62;2;2;;;
80;1;7;6;1;21;1;7;;;
80;1;7;6;1;17;1;7;;;
80;1;7;6;1;11;2;7;;;
80;1;7;6;1;39;1;3;;;
81;1;7;6;1;57;2;1;;2;9
81;1;7;6;1;12;1;7;;;
82;1;7;6;1;48;1;1;;1;1
82;1;7;6;1;44;2;2;;;
82;1;7;6;1;23;2;3;3;;
82;1;7;6;1;20;1;3;;;
82;1;7;6;1;8;1;7;;;
83;1;7;6;1;61;1;1;1;2;2
83;1;7;6;1;53;2;2;;;
83;1;7;6;1;18;1;3;3;;
83;1;7;6;1;10;1;7;;;
84;1;7;6;1;52;1;1;3;1;1
84;1;7;6;1;51;2;2;1;;
84;1;7;6;1;23;1;3;;;
84;1;7;6;1;12;1;3;;;
84;1;7;6;1;24;2;3;;;
85;1;7;6;1;55;1;1;3;1;2
85;1;7;6;1;53;2;2;;;
85;1;7;6;1;25;2;3;;;
85;1;7;6;1;19;2;3;;;
85;1;7;6;1;8;1;7;;;
85;1;7;6;1;4;1;7;;;
86;1;7;6;1;55;1;1;1;1;1
86;1;7;6;1;56;2;2;;;
86;1;7;6;1;30;2;3;3;;
86;1;7;6;1;25;1;3;1;;
87;1;7;6;1;49;2;1;;3;2
87;1;7;6;1;55;1;2;1;;
87;1;7;6;1;25;1;3;;;
87;1;7;6;1;21;2;3;3;;
87;1;7;6;1;14;1;7;;;
87;1;7;6;1;11;2;7;;;
88;1;7;6;1;36;2;1;3;1;1
88;1;7;6;1;8;1;3;;;
88;1;7;6;1;1;2;3;;;
89;1;7;6;1;41;2;1;;1;1
89;1;7;6;1;46;1;2;3;;
89;1;7;6;1;26;2;3;;;
89;1;7;6;1;21;2;3;;;
89;1;7;6;1;18;2;3;;;
89;1;7;6;1;9;2;7;;;
90;1;7;6;1;25;1;1;1;1;1
90;1;7;6;1;66;1;9;2;;
90;1;7;6;1;60;2;9;1;;
90;1;7;6;1;26;1;6;2;;
90;1;7;6;1;28;2;2;3;;
90;1;7;6;1;20;2;8;;;
90;1;7;6;1;6;1;3;;;
90;1;7;6;1;2;2;3;;;
90;1;7;6;1;1;1;10;;;
91;1;7;6;1;41;1;1;1;1;1
91;1;7;6;1;40;2;2;;;
91;1;7;6;1;23;2;3;;;
91;1;7;6;1;20;2;3;;;
91;1;7;6;1;18;1;3;;;
91;1;7;6;1;15;2;3;;;
91;1;7;6;1;9;1;3;;;
91;1;7;6;1;1;2;7;;;
92;1;7;6;1;34;1;1;1;1;1
92;1;7;6;1;31;2;2;;;
93;1;7;6;1;45;1;1;1;1;
93;1;7;6;1;43;2;2;1;;
93;1;7;6;1;19;2;3;;;
94;1;7;6;1;52;1;1;;1;
94;1;7;6;1;49;2;2;;;
94;1;7;6;1;29;1;3;1;;
94;1;7;6;1;26;1;3;1;;
94;1;7;6;1;22;2;3;;;
95;1;7;6;1;25;1;1;1;1;2
95;1;7;6;1;24;2;2;1;;
95;1;7;6;1;0;1;3;;;
96;1;7;6;1;32;2;1;1;1;1
96;1;7;6;1;62;2;9;;;
96;1;7;6;1;29;1;6;1;;
97;1;7;6;1;77;1;1;;1;1
97;1;7;6;1;80;2;2;1;;
98;1;3;6;2;52;1;1;3;1;2
98;1;3;6;2;45;2;2;3;;
98;1;3;6;2;8;1;3;;;
98;2;3;6;2;29;1;1;3;1;1
98;2;3;6;2;27;2;2;3;;
98;2;3;6;2;6;1;3;;;
98;2;3;6;2;1;2;3;;;
98;3;3;6;2;23;2;2;3;2;2
98;3;3;6;2;30;1;1;3;;
99;1;3;6;2;50;1;1;3;1;2
99;1;3;6;2;39;2;2;3;;
99;1;3;6;2;20;1;3;3;;
99;1;3;6;2;18;1;3;3;;
99;1;3;6;2;6;2;3;;;
100;1;3;6;2;39;2;1;3;1;
100;1;3;6;2;19;2;3;;;
100;1;3;6;2;11;2;3;;;
100;1;3;6;2;7;1;3;;;
101;1;3;6;2;35;1;1;3;3;2
101;1;3;6;2;32;2;2;;;
101;1;3;6;2;13;2;3;;;
101;1;3;6;2;12;2;3;;;
101;1;3;6;2;11;2;3;;;
101;1;3;6;2;7;1;3;;;
102;1;3;6;2;31;1;1;1;1;1
102;1;3;6;2;36;2;2;;;
102;1;3;6;2;10;2;3;;;
102;1;3;6;2;8;2;3;;;
102;1;3;6;2;1;2;3;;;
103;1;3;6;2;34;2;1;1;3;2
103;1;3;6;2;15;1;3;2;;
103;1;3;6;2;8;1;3;;;
103;1;3;6;2;3;1;3;;;
104;1;3;6;2;30;1;1;1;1;2
104;1;3;6;2;24;2;2;2;;
104;1;3;6;2;7;1;3;;;
104;1;3;6;2;5;1;3;;;
104;1;3;6;2;3;2;3;;;
105;1;3;6;2;32;1;1;1;1;1
105;1;3;6;2;25;2;2;3;;
105;1;3;6;2;9;2;3;;;
105;1;3;6;2;5;1;3;;;
105;1;3;6;2;0;2;3;;;
106;1;3;6;4;60;2;1;;1;2
106;1;3;6;4;29;1;3;;;
107;1;3;6;4;35;1;1;1;1;
108;1;3;6;4;78;2;1;;2;
108;1;3;6;4;51;1;3;3;;
109;1;3;6;4;63;2;1;;1;2
109;1;3;6;4;23;1;3;3;;
109;1;3;6;4;35;2;3;;;
109;1;3;6;4;8;2;7;;;
109;1;3;6;4;10;1;7;;;
110;1;3;6;4;82;2;1;1;1;
110;1;3;6;4;67;1;12;1;;
111;1;3;6;4;30;2;2;1;1;
111;1;3;6;4;32;1;1;3;;
111;1;3;6;4;0;1;3;;;
112;1;3;6;4;52;1;1;1;1;1
112;1;3;6;4;50;2;2;3;;
113;1;3;6;4;61;1;1;1;1;1
113;1;3;6;4;51;2;2;;;
114;1;3;6;4;48;1;1;3;1;1
114;1;3;6;4;44;2;2;1;;
115;1;3;6;4;43;2;1;;1;2
115;1;3;6;4;43;1;2;2;;
115;1;3;6;4;24;2;3;1;;
115;1;3;6;4;15;2;3;;;
115;1;3;6;4;18;1;3;2;;
115;1;3;6;4;4;2;7;;;
116;1;3;6;4;50;1;1;1;1;1
117;1;3;6;4;60;2;1;3;1;1
117;1;3;6;4;27;2;3;;;
118;1;3;6;4;51;2;1;1;1;
118;1;3;6;4;20;2;3;9;;
118;1;3;6;4;0;1;7;;;
119;1;3;6;4;64;1;1;;1;
119;1;3;6;4;56;2;2;1;;
120;1;3;6;3;22;2;1;3;1;2
121;1;3;6;3;39;1;1;1;1;1
121;1;3;6;3;65;2;9;1;;
122;1;3;6;3;53;1;1;;1;1
122;1;3;6;3;34;1;3;3;;
123;1;3;6;3;47;1;1;;3;1
123;1;3;6;3;67;2;9;;;
123;1;3;6;3;39;1;6;;;
124;1;3;6;3;80;2;1;1;1;
125;1;3;6;3;63;1;1;1;1;
125;1;3;6;3;60;2;2;;;
129;1;3;6;4;62;1;1;;1;
129;1;3;6;4;54;2;2;;;
130;1;3;6;4;37;1;1;1;1;
130;1;3;6;4;67;2;9;;;
130;1;3;6;4;8;1;3;;;
132;1;3;6;3;51;2;1;1;1;2
132;1;3;6;3;59;1;2;;;
132;1;3;6;3;24;1;3;;;
132;1;3;6;3;23;1;3;;;
132;1;3;6;3;16;1;3;;;
132;1;3;6;3;14;1;3;;;
133;1;3;6;3;48;2;1;3;1;2
134;1;3;6;3;33;1;1;1;1;1
134;1;3;6;3;33;2;2;;;
134;1;3;6;3;11;1;3;;;
134;1;3;6;3;4;2;3;;;
135;1;3;6;3;62;1;1;1;1;1
135;1;3;6;3;55;2;2;;;
135;1;3;6;3;26;1;3;;;
135;1;3;6;3;20;1;3;;;
135;1;3;6;3;17;1;3;;;
136;1;3;6;3;63;1;1;3;1;2
136;1;3;6;3;61;2;2;3;;
136;2;3;6;3;39;2;1;3;1;2
136;2;3;6;3;18;2;3;;;
136;2;3;6;3;16;2;3;;;
136;2;3;6;3;14;1;3;;;
136;2;3;6;3;5;1;3;;;
136;2;3;6;3;0;1;7;;;
137;1;3;6;3;59;1;1;2;1;
137;1;3;6;3;52;2;2;3;;
137;1;3;6;3;13;2;3;;;
138;1;3;6;3;23;1;1;;2;2
138;1;3;6;3;22;2;2;3;;
138;1;3;6;3;3;2;3;;;
139;1;3;6;3;28;1;1;2;1;1
139;1;3;6;3;28;2;2;2;;
139;1;3;6;3;3;2;3;;;
140;1;3;6;3;30;1;1;2;1;
140;1;3;6;3;23;2;2;;;
140;1;3;6;3;4;1;3;;;
141;1;3;6;3;31;1;1;1;3;1
141;1;3;6;3;33;2;2;;;
141;1;3;6;3;10;2;3;;;
141;1;3;6;3;7;1;3;;;
142;1;3;6;3;57;1;1;;1;2
142;1;3;6;3;57;2;2;;;
143;1;3;6;3;38;1;1;1;1;1
143;1;3;6;3;29;2;2;;;
143;1;3;6;3;6;2;3;;;
143;1;3;6;3;4;2;3;;;
144;1;3;6;3;43;1;1;1;1;1
144;1;3;6;3;28;2;2;;;
144;1;3;6;3;6;2;3;;;
145;1;3;6;2;47;1;1;;1;
145;1;3;6;2;43;2;2;;;
145;1;3;6;2;18;1;3;;;
145;1;3;6;2;17;1;3;;;
145;1;3;6;2;14;1;3;;;
146;1;3;6;2;36;1;1;9;1;
146;1;3;6;2;39;2;2;9;;
146;1;3;6;2;4;2;3;;;
147;1;3;6;2;35;2;1;1;1;
147;1;3;6;2;33;1;2;;;
147;1;3;6;2;7;2;3;;;
147;1;3;6;2;4;1;3;;;
148;1;3;6;2;42;2;1;1;1;
148;1;3;6;2;73;2;9;1;;
149;1;3;6;2;56;1;1;1;1;1
149;1;3;6;2;50;2;2;1;;
149;1;3;6;2;16;2;3;;;
149;1;3;6;2;14;1;3;;;
149;1;3;6;2;11;2;3;;;
150;1;3;6;2;65;2;1;1;1;1
150;1;3;6;2;75;1;2;1;;
151;1;3;6;2;58;2;1;1;2;1
151;1;3;6;2;49;1;2;1;;
151;1;3;6;2;24;1;3;;;
152;1;3;6;2;32;1;1;1;1;1
153;1;3;6;2;37;1;1;1;1;
153;1;3;6;2;28;2;2;1;;
153;1;3;6;2;2;1;3;;;
153;1;3;6;2;1;2;3;;;
154;1;3;6;2;36;1;1;1;2;2
154;1;3;6;2;31;2;2;3;;
154;1;3;6;2;13;2;3;;;
154;1;3;6;2;2;2;3;;;
155;1;3;6;2;49;2;1;3;2;2
155;1;3;6;2;23;1;3;3;;
155;1;3;6;2;27;2;3;1;;
156;1;3;6;2;28;1;1;1;1;2
156;1;3;6;2;26;2;2;3;;
156;1;3;6;2;9;2;3;;;
156;1;3;6;2;7;1;3;;;
156;1;3;6;2;6;1;3;;;
156;1;3;6;2;5;1;3;;;
156;1;3;6;2;3;2;3;;;
157;1;3;6;2;37;1;1;3;3;1
157;1;3;6;2;30;2;2;;;
157;1;3;6;2;12;1;3;;;
157;1;3;6;2;8;1;3;;;
